Date,Time,Open,High,Low,Close,Volume
2023-06-23,08:48:00,121.52,121.64,121.52,121.64,2385.0
2023-06-23,08:50:00,121.68,121.7746,121.65,121.65,1298.0
2023-06-23,08:51:00,121.7,121.7195,121.6,121.7195,5506.0
2023-06-23,08:52:00,121.7163,121.7163,121.64,121.64,2857.0
2023-06-23,08:53:00,121.65,121.83,121.65,121.83,5771.0
2023-06-23,08:54:00,121.82,121.9,121.75,121.76,3366.0
2023-06-23,08:55:00,121.7,121.7,121.56,121.59,3098.0
2023-06-23,08:56:00,121.66,121.66,121.66,121.66,368.0
2023-06-23,08:57:00,121.61,121.65,121.61,121.65,576.0
2023-06-23,08:58:00,121.64,121.65,121.61,121.61,747.0
2023-06-23,08:59:00,121.62,121.63,121.61,121.63,1427.0
2023-06-23,09:00:00,121.6,121.71,121.6,121.71,4140.0
2023-06-23,09:01:00,121.75,121.75,121.75,121.75,640.0
2023-06-23,09:02:00,121.73,121.73,121.73,121.73,462.0
2023-06-23,09:03:00,121.81,121.9,121.7,121.79,3723.0
2023-06-23,09:04:00,121.79,121.79,121.79,121.79,6573.0
2023-06-23,09:05:00,121.7,121.7,121.68,121.68,1506.0
2023-06-23,09:06:00,121.78,121.78,121.78,121.78,210.0
2023-06-23,09:07:00,121.61,121.61,121.5301,121.55,2924.0
2023-06-23,09:08:00,121.55,121.55,121.5,121.55,2682.0
2023-06-23,09:09:00,121.494,121.61,121.494,121.61,1977.0
2023-06-23,09:10:00,121.63,121.63,121.63,121.63,1018.0
2023-06-23,09:11:00,121.69,121.74,121.69,121.74,3021.0
2023-06-23,09:12:00,121.79,121.79,121.74,121.77,3875.0
2023-06-23,09:13:00,121.79,121.89,121.79,121.89,1846.0
2023-06-23,09:14:00,121.8998,121.8998,121.8998,121.8998,652.0
2023-06-23,09:15:00,121.8201,121.93,121.8201,121.89,4613.0
2023-06-23,09:16:00,121.8273,121.8273,121.76,121.76,2240.0
2023-06-23,09:17:00,121.76,121.79,121.75,121.75,1242.0
2023-06-23,09:18:00,121.7302,121.74,121.63,121.68,2291.0
2023-06-23,09:20:00,121.65,121.65,121.65,121.65,1187.0
2023-06-23,09:21:00,121.61,121.65,121.61,121.65,2367.0
2023-06-23,09:22:00,121.61,121.61,121.61,121.61,322.0
2023-06-23,09:23:00,121.6008,121.64,121.6,121.64,1701.0
2023-06-23,09:24:00,121.6,121.6,121.57,121.59,3403.0
2023-06-23,09:25:00,121.5,121.5,121.4,121.44,4411.0
2023-06-23,09:26:00,121.45,121.45,121.37,121.38,4031.0
2023-06-23,09:27:00,121.32,121.55,121.32,121.48,4366.0
2023-06-23,09:28:00,121.55,121.55,121.55,121.55,365.0
2023-06-23,09:29:00,121.49,121.49,121.38,121.4,6457.0
2023-06-23,09:30:00,121.38,121.99,121.3,121.665,445083.0
2023-06-23,09:31:00,121.69,122.13,121.64,122.11,125039.0
2023-06-23,09:32:00,122.1,122.25,121.9,121.935,62880.0
2023-06-23,09:33:00,121.92,122.14,121.84,122.04,107409.0
2023-06-23,09:34:00,122.04,122.3263,121.95,122.19,95216.0
2023-06-23,09:35:00,122.18,122.225,121.86,121.9975,108660.0
2023-06-23,09:36:00,121.9975,122.1501,121.84,121.92,94630.0
2023-06-23,09:37:00,121.94,122.17,121.83,122.13,129124.0
2023-06-23,09:38:00,122.12,122.29,121.965,122.24,99792.0
2023-06-23,09:39:00,122.23,122.425,122.2096,122.22,117294.0
2023-06-23,09:40:00,122.225,122.34,121.96,122.061,97276.0
2023-06-23,09:41:00,122.0697,122.07,121.81,121.85,74682.0
2023-06-23,09:42:00,121.87,122.04,121.66,121.685,73411.0
2023-06-23,09:43:00,121.69,121.77,121.62,121.62,65939.0
2023-06-23,09:44:00,121.63,121.65,121.51,121.56,71304.0
2023-06-23,09:45:00,121.57,121.64,121.3,121.328,99568.0
2023-06-23,09:46:00,121.29,121.37,121.26,121.28,78017.0
2023-06-23,09:47:00,121.28,121.42,121.195,121.41,90257.0
2023-06-23,09:48:00,121.415,121.5,121.21,121.21,70003.0
2023-06-23,09:49:00,121.21,121.3,121.12,121.16,86531.0
2023-06-23,09:50:00,121.16,121.3415,121.16,121.26,101046.0
2023-06-23,09:51:00,121.24,121.34,121.12,121.135,122104.0
2023-06-23,09:52:00,121.13,121.58,121.06,121.54,113365.0
2023-06-23,09:53:00,121.54,121.57,121.44,121.51,91938.0
2023-06-23,09:54:00,121.51,121.56,121.42,121.51,62354.0
2023-06-23,09:55:00,121.509,121.58,121.36,121.5501,73026.0
2023-06-23,09:56:00,121.56,121.6,121.44,121.49,60601.0
2023-06-23,09:57:00,121.48,121.51,121.405,121.438,63197.0
2023-06-23,09:58:00,121.43,121.54,121.3646,121.54,49615.0
2023-06-23,09:59:00,121.54,121.63,121.505,121.505,77875.0
2023-06-23,10:00:00,121.51,121.63,121.46,121.5,54004.0
2023-06-23,10:01:00,121.49,121.49,121.265,121.27,56270.0
